Time,Channel A,Channel B
(ms),(V),(mV)

-250.34651160,0.00000000,-0.13122960
-250.18267160,0.00000000,-0.13122960
-250.01883160,0.00000000,0.32654800
-249.85499161,0.00000000,-0.13122960
-249.69115161,0.00000000,-0.13122960
-249.52731161,0.00000000,-0.13122960
-249.36347161,0.00000000,0.32654800
-249.19963161,0.00000000,0.32654800
-249.03579161,0.00000000,-0.13122960
-248.87195161,0.00000000,0.32654800
-248.70811161,0.00000000,-0.13122960
-248.54427161,0.00000000,-0.13122960
-248.38043161,0.00000000,0.32654800
-248.21659162,0.00000000,-0.13122960
-248.05275162,0.00000000,-0.13122960
-247.88891162,0.00000000,0.32654800
-247.72507162,0.00000000,-0.13122960
-247.56123162,0.00000000,-0.13122960
-247.39739162,0.00000000,0.32654800
-247.23355162,0.00000000,0.32654800
-247.06971162,0.00000000,0.32654800
-246.90587162,0.00000000,-0.13122960
-246.74203162,0.00000000,-0.13122960
-246.57819163,0.00000000,-0.13122960
-246.41435163,0.00000000,0.32654800
-246.25051163,0.00000000,0.32654800
-246.08667163,0.00000000,0.32654800
-245.92283163,0.00000000,-0.13122960
-245.75899163,0.00000000,0.32654800
-245.59515163,0.00000000,0.32654800
-245.43131163,0.00000000,-0.13122960
-245.26747163,0.00000000,-0.13122960
-245.10363163,0.00000000,0.32654800
-244.93979164,0.00000000,0.32654800
-244.77595164,0.00000000,-0.13122960
-244.61211164,0.00000000,0.32654800
-244.44827164,0.00000000,-0.13122960
-244.28443164,0.00000000,0.32654800
-244.12059164,0.00000000,0.32654800
-243.95675164,0.00000000,-0.13122960
-243.79291164,0.00000000,0.32654800
-243.62907164,0.00000000,-0.13122960
-243.46523164,0.00000000,-0.13122960
-243.30139165,0.00000000,0.32654800
-243.13755165,0.00000000,-0.13122960
-242.97371165,0.00000000,-0.13122960
-242.80987165,0.00000000,0.32654800
-242.64603165,0.00000000,0.32654800
-242.48219165,0.00000000,-0.13122960
-242.31835165,0.00000000,0.32654800
-242.15451165,0.00000000,-0.13122960
-241.99067165,0.00000000,-0.13122960
-241.82683165,0.00000000,0.32654800
-241.66299166,0.00000000,-0.13122960
-241.49915166,0.00000000,-0.13122960
-241.33531166,0.00000000,-0.13122960
-241.17147166,0.00000000,0.32654800
-241.00763166,0.00000000,-0.13122960
-240.84379166,0.00000000,-0.13122960
-240.67995166,0.00000000,-0.13122960
-240.51611166,0.00000000,0.32654800
-240.35227166,0.00000000,-0.13122960
-240.18843166,0.00000000,0.32654800
-240.02459167,0.00000000,0.32654800
-239.86075167,0.00000000,0.32654800
-239.69691167,0.00000000,0.32654800
-239.53307167,0.00000000,-0.13122960
-239.36923167,0.00000000,0.32654800
-239.20539167,0.00000000,0.32654800
-239.04155167,0.00000000,0.32654800
-238.87771167,0.00000000,0.32654800
-238.71387167,0.00000000,-0.13122960
-238.55003167,0.00000000,0.32654800
-238.38619168,0.00000000,-0.13122960
-238.22235168,0.00000000,0.32654800
-238.05851168,0.00000000,-0.58748130
-237.89467168,0.00000000,-0.13122960
-237.73083168,0.00000000,-0.13122960
-237.56699168,0.00000000,-0.13122960
-237.40315168,0.00000000,-0.13122960
-237.23931168,0.00000000,0.32654800
-237.07547168,0.00000000,-0.13122960
-236.91163168,0.00000000,-0.13122960
-236.74779169,0.00000000,0.32654800
-236.58395169,0.00000000,0.32654800
-236.42011169,0.00000000,0.32654800
-236.25627169,0.00000000,-0.13122960
-236.09243169,0.00000000,0.32654800
-235.92859169,0.00000000,-0.13122960
-235.76475169,0.00000000,-0.13122960
-235.60091169,0.00000000,-0.13122960
-235.43707169,0.00000000,-0.13122960
-235.27323169,0.00000000,-0.13122960
-235.10939170,0.00000000,0.32654800
-234.94555170,0.00000000,-0.13122960
-234.78171170,0.00000000,-0.13122960
-234.61787170,0.00000000,0.32654800
-234.45403170,0.00000000,-0.13122960
-234.29019170,0.00000000,-0.13122960
-234.12635170,0.00000000,0.32654800
-233.96251170,0.00000000,-0.13122960
-233.79867170,0.00000000,-0.13122960
-233.63483170,0.00000000,-0.13122960
-233.47099170,0.00000000,0.32654800
-233.30715171,0.00000000,-0.13122960
-233.14331171,0.00000000,-0.13122960
-232.97947171,0.00000000,0.32654800
-232.81563171,0.00000000,-0.13122960
-232.65179171,0.00000000,-0.13122960
-232.48795171,0.00000000,0.32654800
-232.32411171,0.00000000,0.32654800
-232.16027171,0.00000000,0.32654800
-231.99643171,0.00000000,-0.13122960
-231.83259171,0.00000000,-0.13122960
-231.66875172,0.00000000,-0.13122960
-231.50491172,0.00000000,-0.13122960
-231.34107172,0.00000000,-0.13122960
-231.17723172,0.00000000,-0.13122960
-231.01339172,0.00000000,-0.13122960
-230.84955172,0.00000000,0.32654800
-230.68571172,0.00000000,0.32654800
-230.52187172,0.00000000,-0.13122960
-230.35803172,0.00000000,0.32654800
-230.19419172,0.00000000,-0.13122960
-230.03035173,0.00000000,0.32654800
-229.86651173,0.00000000,-0.13122960
-229.70267173,0.00000000,0.32654800
-229.53883173,0.00000000,-0.13122960
-229.37499173,0.00000000,0.32654800
-229.21115173,0.00000000,-0.13122960
-229.04731173,0.00000000,-0.13122960
-228.88347173,0.00000000,-0.13122960
-228.71963173,0.00000000,0.32654800
-228.55579173,0.00000000,0.32654800
-228.39195174,0.00000000,-0.13122960
-228.22811174,0.00000000,0.32654800
-228.06427174,0.00000000,0.32654800
-227.90043174,0.00000000,0.32654800
-227.73659174,0.00000000,-0.13122960
-227.57275174,0.00000000,-0.13122960
-227.40891174,0.00000000,-0.13122960
-227.24507174,0.00000000,-0.13122960
-227.08123174,0.00000000,-0.13122960
-226.91739174,0.00000000,0.32654800
-226.75355175,0.00000000,-0.13122960
-226.58971175,0.00000000,-0.13122960
-226.42587175,0.00000000,0.32654800
-226.26203175,0.00000000,0.32654800
-226.09819175,0.00000000,0.32654800
-225.93435175,0.00000000,0.32654800
-225.77051175,0.00000000,-0.13122960
-225.60667175,0.00000000,-0.13122960
-225.44283175,0.00000000,-0.13122960
-225.27899175,0.00000000,-0.13122960
-225.11515176,0.00000000,-0.13122960
-224.95131176,0.00000000,0.32654800
-224.78747176,0.00000000,0.32654800
-224.62363176,0.00000000,0.32654800
-224.45979176,0.00000000,-0.13122960
-224.29595176,0.00000000,0.32654800
-224.13211176,0.00000000,-0.13122960
-223.96827176,0.00000000,-0.13122960
-223.80443176,0.00000000,0.32654800
-223.64059176,0.00000000,0.32654800
-223.47675177,0.00000000,-0.13122960
-223.31291177,0.00000000,-0.13122960
-223.14907177,0.00000000,-0.13122960
-222.98523177,0.00000000,-0.13122960
-222.82139177,0.00000000,-0.13122960
-222.65755177,0.00000000,0.32654800
-222.49371177,0.00000000,-0.13122960
-222.32987177,0.00000000,0.32654800
-222.16603177,0.00000000,-0.13122960
-222.00219177,0.00000000,-0.13122960
-221.83835178,0.00000000,0.32654800
-221.67451178,0.00000000,-0.13122960
-221.51067178,0.00000000,-0.13122960
-221.34683178,0.00000000,-0.13122960
-221.18299178,0.00000000,-0.13122960
-221.01915178,0.00000000,-0.13122960
-220.85531178,0.00000000,-0.13122960
-220.69147178,0.00000000,-0.13122960
-220.52763178,0.00000000,0.32654800
-220.36379178,0.00000000,0.32654800
-220.19995179,0.00000000,-0.13122960
-220.03611179,0.00000000,-0.13122960
-219.87227179,0.00000000,0.32654800
-219.70843179,0.00000000,0.32654800
-219.54459179,0.00000000,-0.13122960
-219.38075179,0.00000000,-0.13122960
-219.21691179,0.00000000,-0.13122960
-219.05307179,0.00000000,0.32654800
-218.88923179,0.00000000,-0.13122960
-218.72539179,0.00000000,-0.13122960
-218.56155180,0.00000000,-0.13122960
